subcat,coupling,tap section,sx
regular,strong,0,1.0375390860248366
regular,strong,1,1.0109422789816993
regular,strong,2,0.994431230124551
regular,strong,3,1.0388861661278865
regular,strong,4,0.9858712742656209
regular,strong,5,1.003638924842044
regular,strong,6,1.0559522164979167
regular,medium,0,1.1550247320154683
regular,medium,1,1.1646915652680456
regular,medium,2,1.1045937683171334
regular,medium,3,1.0423601499812933
regular,medium,4,0.9751507118917618
regular,medium,5,0.9987975418496561
regular,medium,6,0.9891756935611508
regular,weak,0,1.2281219397693715
regular,weak,1,1.2057867918247478
regular,weak,2,1.0760307064535957
regular,weak,3,1.0408160067795813
regular,weak,4,1.011418258658435
regular,weak,5,0.946217956604432
regular,weak,6,0.8800395113807693
regular,none,0,1.2832696572232274
regular,none,1,1.1948175571449102
regular,none,2,0.9864364348141389
regular,none,3,0.9564258315594795
regular,none,4,0.8666600736996167
regular,none,5,0.8318182980897065
regular,none,6,0.7446490950812004
hybrid,strong,0,0.931906597140432
hybrid,strong,1,0.9915207379212961
hybrid,strong,2,0.9909484668774695
hybrid,strong,3,0.9932918559388226
hybrid,strong,4,0.9962476130115739
hybrid,strong,5,0.9914298709700006
hybrid,strong,6,1.0066389803322255
hybrid,medium,0,0.9509966826383893
hybrid,medium,1,0.9724020843331908
hybrid,medium,2,0.9598068169724924
hybrid,medium,3,0.9623559640218785
hybrid,medium,4,0.969604944456151
hybrid,medium,5,0.9671978795495942
hybrid,medium,6,0.9662612399571429
hybrid,weak,0,0.9466983310558642
hybrid,weak,1,0.9754215564685182
hybrid,weak,2,0.9698016258695988
hybrid,weak,3,0.971895346442747
hybrid,weak,4,0.9688129931433163
hybrid,weak,5,0.9791543576571939
hybrid,weak,6,0.9930471011686509
hybrid,none,0,0.7710382586224136
hybrid,none,1,0.664477285612577
hybrid,none,2,0.6468906805765431
hybrid,none,3,0.6336647576529937
hybrid,none,4,0.6254345193495784
hybrid,none,5,0.624815768918402
hybrid,none,6,0.5952304195076885
fast,strong,0,0.8914714251666666
fast,strong,1,0.9745928080555554
fast,strong,2,0.9914848469499999
fast,strong,3,0.981296266611111
fast,strong,4,0.9700023224172839
fast,strong,5,0.9859001681397278
fast,strong,6,0.9799968674662257
fast,medium,0,0.4464272825333334
fast,medium,1,0.4572010096666666
fast,medium,2,0.47095676552592597
fast,medium,3,0.4829016624740741
fast,medium,4,0.4840606728222222
fast,medium,5,0.49232174226666664
fast,medium,6,0.5058610190791888
fast,weak,0,0.4582696872
fast,weak,1,0.44730415798518514
fast,weak,2,0.4486308721259259
fast,weak,3,0.4728926309296297
fast,weak,4,0.4584045571703704
fast,weak,5,0.43825915502962964
fast,weak,6,0.4452851166777778
fast,none,0,0.33710356531481483
fast,none,1,0.3251124996148148
fast,none,2,0.3160847798333334
fast,none,3,0.3106182322629629
fast,none,4,0.28872030804814813
fast,none,5,0.30341608366090533
fast,none,6,0.30896958391481477
